group,variable,value,Gene Annotation
rs12737739,AD.FATPAD,18,intronic
rs12737739,AD.FATPAD,17,intronic
rs12737739,ADIP.ADCYTE,17,intronic
rs12737739,ADIP.TISSUE,18,intronic
rs12737739,BLD.CD4T,18,intronic
rs12737739,BLD.CD4T,17,intronic
rs12737739,BLD.CD4T,18,intronic
rs12737739,BLD.CD4T,17,intronic
rs12737739,BLD.CD4T,17,intronic
rs12737739,BLD.CD4T,17,intronic
rs12737739,BLD.CD4T,17,intronic
rs12737739,BLD.CD4T,18,intronic
rs12737739,BLD.CD4T,17,intronic
rs12737739,BLD.CD8T,18,intronic
rs12737739,BLD.CD8T,18,intronic
rs12737739,BLD.CD8T,17,intronic
rs12737739,BLD.CD8T,17,intronic
rs12737739,BLD.CD8T,18,intronic
rs12737739,BLD.CD8T,17,intronic
rs12737739,BLD.CD8T,17,intronic
rs12737739,BLD.MONONUC,5,intronic
rs12737739,BLD.MONONUC,18,intronic
rs12737739,BLD.MONONUC,17,intronic
rs12737739,BLD.MONONUC,5,intronic
rs12737739,BLD.MONONUC,6,intronic
rs12737739,BLD.MONONUC,6,intronic
rs12737739,BLD.NAIVET,18,intronic
rs12737739,BLD.NAIVET,17,intronic
rs12737739,BLD.NAIVET,18,intronic
rs12737739,BLD.TREG,17,intronic
rs12737739,BLD.TREG,17,intronic
rs12737739,BLD.TREG,18,intronic
rs12737739,BONE.EMB.ARM,18,intronic
rs12737739,BONE.EMB.FEMUR,18,intronic
rs12737739,BONE.EMB.LEG,18,intronic
rs12737739,BONE.MRW,17,intronic
rs12737739,BONE.OSTBLAST,17,intronic
rs12737739,BRN.AG,18,intronic
rs12737739,BRN.AG,17,intronic
rs12737739,BRN.AMM,18,intronic
rs12737739,BRN.AST,17,intronic
rs12737739,BRN.AST.CRBLLM,17,intronic
rs12737739,BRN.AST.HPC,17,intronic
rs12737739,BRN.AST.SPCORD,17,intronic
rs12737739,BRN.CAUD.NUC,17,intronic
rs12737739,BRN.CAUD.NUC,18,intronic
rs12737739,BRN.CAUD.NUC,17,intronic
rs12737739,BRN.CBR.CTX,17,intronic
rs12737739,BRN.CING.GYR,17,intronic
rs12737739,BRN.CING.GYR,17,intronic
rs12737739,BRN.CRBLLM,18,intronic
rs12737739,BRN.CRBLLM,17,intronic
rs12737739,BRN.EMB.BRN,17,intronic
rs12737739,BRN.EMB.BRN,18,intronic
